time,Cl2m_rad_max,Cr_III_total,Cr_II_total,Cr_I_total,Cr_total,reactor_power_fraction,redox_ratio_CrIII_CrII
0,0,0,0.4,0,0.4,0,0
5,1.0799494007715e-11,0.00015544054491781,0.39984688088568,0,0.4000023214306,0.05,0.00038875017500074
10,2.1612513028432e-11,0.00046622759430155,0.39953852511267,0,0.40000475270697,0.1,0.0011669152409522
15,3.2449225782695e-11,0.00093219634594552,0.39907517108776,0,0.40000736743371,0.15,0.0023358916151176
20,4.3319848920501e-11,0.0015531108518354,0.39845712818044,0,0.40001023903228,0.2,0.0038978116891213
25,5.4234671067325e-11,0.0023286634632951,0.39768477725737,0,0.40001344072067,0.25,0.0058555509198886
30,6.5204077201177e-11,0.0032584741060068,0.39675857138443,0,0.40001704549044,0.3,0.0082127377730915
35,7.6238573290701e-11,0.0043420893828626,0.39567903669777,0,0.40002112608063,0.35,0.010973766563679
40,8.7348811273581e-11,0.0055789815020522,0.39444677344573,0,0.40002575494778,0.4,0.014143813253475
45,9.8545614453831e-11,0.0069685470272446,0.39306245720427,0,0.40003100423152,0.45,0.017728854281352
50,1.0984000339572e-10,0.0085101054461813,0.39152684026873,0,0.40003694571491,0.5,0.02173568851714
55,1.2124322239109e-10,0.010202878361177,0.38983635211016,0,0.40003923047133,0.55,0.026172208686925
60,1.3276826824312e-10,0.012046039258534,0.38799547526576,0,0.40004151452429,0.6,0.031046854993047
65,1.4442769358037e-10,0.014038664671019,0.38600513298706,0,0.40004379765808,0.65,0.036369113960692
70,1.5623074540881e-10,0.016179746239658,0.38386633339028,0,0.40004607962994,0.7,0.042149427632164
75,1.6819130517814e-10,0.018468188274002,0.38158017189517,0,0.40004836016918,0.75,0.048399234641247
80,1.8032231308419e-10,0.020902805092979,0.37914783388336,0,0.40005063897633,0.8,0.055131015464035
85,1.9263712507857e-10,0.023482318138639,0.37657059758355,0,0.40005291572219,0.85,0.062358342072709
90,2.0514954678243e-10,0.026205352854651,0.37384983719213,0,0.40005519004679,0.9,0.070095932237048
95,2.1787386863855e-10,0.029070435321003,0.37098702623738,0,0.40005746155838,0.95,0.078359708736557
100,2.3082490235008e-10,0.03207598863606,0.36798374119634,0,0.4000597298324,1,0.087166863763543
105,2.3232297758105e-10,0.035071129450965,0.36499086975851,0,0.40006199920948,1,0.096087689739113
110,2.3383526332105e-10,0.038055759145369,0.36200851054028,0,0.40006426968565,1,0.10512393503836
115,2.3536188288025e-10,0.041029778249683,0.35903676300727,0,0.40006654125696,1,0.1142773734534
120,2.3690295884031e-10,0.043993086446879,0.3560757274726,0,0.40006881391947,1,0.12354980430466
125,2.3845861313292e-10,0.046945582577072,0.35312550509224,0,0.40007108766932,1,0.13294305254108
130,2.4002896694403e-10,0.049887164642786,0.35018619785985,0,0.40007336250264,1,0.14245896882193
135,2.4161414061416e-10,0.052817729814903,0.34725790860072,0,0.40007563841562,1,0.15209942957882
140,2.4321425353445e-10,0.055737174439339,0.34434074096518,0,0.40007791540452,1,0.16186633705646
145,2.4482942403855e-10,0.058645394044477,0.34143479942112,0,0.4000801934656,1,0.17176161933085
150,2.4645976929011e-10,0.061542283349363,0.33854018924582,0,0.40008247259519,1,0.18178723030333
155,2.4810540516587e-10,0.064427736272732,0.33565701651693,0,0.40008475278966,1,0.19194514966882
160,2.4976644613417e-10,0.067301645942867,0.33278538810258,0,0.40008703404545,1,0.20223738285685
165,2.5144300512883e-10,0.070163904708333,0.3299254116507,0,0.40008931635903,1,0.21266596094337
170,2.5313519341834e-10,0.073014404149619,0.32707719557733,0,0.40009159972695,1,0.22323294053179
175,2.5484312047016e-10,0.075853035091727,0.32424084905407,0,0.40009388414579,1,0.23394040360127
180,2.5656689381021e-10,0.078679687617722,0.3214164819945,0,0.40009616961223,1,0.24479045732032
185,2.5830661887727e-10,0.081494251083307,0.31860420503966,0,0.40009845612297,1,0.25578523382377
190,2.6006239887241e-10,0.084296614132427,0.31580412954238,0,0.4001007436748,1,0.26692688995099
195,2.6183433460326e-10,0.087086664713965,0.31301636755063,0,0.40010303226459,1,0.27821760694312
200,2.6362252432304e-10,0.089864290099541,0.31024103178972,0,0.40010532188926,1,0.28965959009719
205,2.6542706356438e-10,0.092629376902475,0.30747823564334,0,0.40010761254581,1,0.30125506837473
210,2.6724804496785e-10,0.095381811097925,0.30472809313339,0,0.40010990423132,1,0.31300629396244
215,2.6908555810508e-10,0.098121478044261,0.30199071889868,0,0.40011219694294,1,0.32491554178253
220,2.709396892965e-10,0.10084826250569,0.29926622817222,0,0.40011449067791,1,0.33698510895008
225,2.7281052142377e-10,0.10356204867621,0.29655473675734,0,0.40011678543355,1,0.34921731417478
230,2.7469813373661e-10,0.10626272020483,0.29385636100244,0,0.40011908120727,1,0.36161449710439
235,2.7660260165436e-10,0.10895016022225,0.29117121777431,0,0.40012137799656,1,0.37417901760707
240,2.78523996562e-10,0.1116242513689,0.2884994244301,0,0.400123675799,1,0.3869132549897
245,2.8046238560083e-10,0.11428487582447,0.28584109878781,0,0.40012597461228,1,0.39981960714931
250,2.8241783145377e-10,0.11693191533882,0.28319635909533,0,0.40012827443416,1,0.41290048965446
255,2.8439039212532e-10,0.11956525126459,0.28056532399793,0,0.40013057526251,1,0.4261583347537
260,2.8638012071629e-10,0.12218476459117,0.27794811250414,0,0.40013287709531,1,0.4395955903077
265,2.883870651933e-10,0.12479033598044,0.27534484395019,0,0.40013517993062,1,0.4532147186421
270,2.9041126815332e-10,0.127381845804,0.27275563796262,0,0.40013748376662,1,0.46701819531757
275,2.9245276658311e-10,0.12995917418216,0.27018061441942,0,0.40013978860158,1,0.48100850781401
280,2.9451159161398e-10,0.13252220102457,0.26761989340931,0,0.40014209443389,1,0.49518815412531
285,2.9658776827177e-10,0.13507080607261,0.26507359518943,0,0.40014440126204,1,0.50955964126146
290,2.9868131522247e-10,0.13760486894349,0.26254184014114,0,0.40014670908463,1,0.52412548365442
295,3.0079224451347e-10,0.14012426917622,0.26002474872416,0,0.40014901790038,1,0.53888820146449
300,3.0292056131085e-10,0.1426288862793,0.25752244142882,0,0.40015132770812,1,0.55385031878365
305,3.0506626363282e-10,0.14511859978031,0.25503503872646,0,0.40015363850678,1,0.56901436173231
310,3.0722934207972e-10,0.1475932892774,0.25256266101802,0,0.40015595029541,1,0.58438285644633
315,3.0940977956077e-10,0.15005283449252,0.25010542858067,0,0.4001582630732,1,0.59995832695059
320,3.11607551018e-10,0.15249711532676,0.24766346151264,0,0.40016057683941,1,0.61574329291597
325,3.1382262314768e-10,0.15492601191744,0.245236879676,0,0.40016289159344,1,0.63174026729636
330,3.1605495411969e-10,0.15733940469723,0.24282580263759,0,0.40016520733482,1,0.64795175384244
335,3.1830449329516e-10,0.15973717445518,0.240430349608,0,0.40016752406317,1,0.66438024448916
340,3.2057118094302e-10,0.16211920239973,0.23805063937851,0,0.40016984177824,1,0.68102821661384
345,3.2285494795574e-10,0.16448537022369,0.2356867902562,0,0.40017216047989,1,0.697898130162
350,3.25155715565e-10,0.1668355601711,0.23333891999698,0,0.40017448016808,1,0.7149924246382
355,3.2747339505766e-10,0.16916965510618,0.23100714573673,0,0.40017680084292,1,0.73231351595928
360,3.2980788749281e-10,0.17148753858412,0.22869158392046,0,0.40017912250458,1,0.74986379316768
365,3.3215908342038e-10,0.17378909492385,0.22639235022953,0,0.40018144515339,1,0.76764561500267
370,3.3452686260204e-10,0.17607420928275,0.22410955950699,0,0.40018376878974,1,0.78566130632754
375,3.3691109373516e-10,0.17834276773324,0.22184332568092,0,0.40018609341416,1,0.80391315441127
380,3.3931163418047e-10,0.18059465734124,0.21959376168603,0,0.40018841902726,1,0.82240340506325
385,3.4172832969417e-10,0.18282976624651,0.21736097938327,0,0.40019074562977,1,0.8411342586202
390,3.4416101416547e-10,0.18504798374475,0.21514508947775,0,0.4001930732225,1,0.86010786578462
395,3.4660950936019e-10,0.18724920037151,0.21294620143484,0,0.40019540180635,1,0.87932632331463
400,3.4907362467142e-10,0.18943330798778,0.21076442339453,0,0.40019773138231,1,0.89879166956554
405,3.3385782381823e-10,0.19149267829808,0.20870738884562,0,0.4002000671437,0.95,0.91751748396278
410,3.1830669087676e-10,0.19342963916603,0.20677276934132,0,0.40020240850735,0.9,0.93546959680522
415,3.0243494867702e-10,0.19524641620461,0.20495833871299,0,0.40020475491761,0.85,0.95261513842586
420,2.8625789125707e-10,0.19694512880269,0.20326197704433,0,0.40020710584702,0.8,0.96892262717555
425,2.6979134320803e-10,0.19852778643895,0.20168167435784,0,0.40020946079678,0.75,0.9843620501023
430,2.5305161930008e-10,0.19999628527636,0.20021553402075,0,0.40021181929711,0.7,0.99890493639537
