# source=validation/corrosion/calibration/results/advanced/cpp_parity_cases.csv
# source_sha256=7d2fc2c5e87d101ab08af2f4ff953526d6609a2bc1e5bedee3c73bd891ba2126
measurement_id,response_kind,material,salt_class,redox_class,position_class,temperature_K,cold_temperature_K,delta_T_C,flow_factor,time_years,density_g_cm3,cr_fraction_ratio,inventory_scale,explicit_inventory_scale,deposition_closure,area_to_salt_mass_cm2_g,inventory_coupling_factor,deposit_area_factor,selectivity_scale,product_floor_ppm,initial_dissolved_Cr_ppm,initial_dissolved_Fe_ppm,initial_dissolved_Ni_ppm,redox_shift_initial,log_charge_base_no_redox,mass_transfer_rate_um_y,inventory_capacity_ppm,mass_loss_fraction,cr_diffusion_cm2_s,front_damage_multiplier,gb_length_multiplier,transient_redox,stress_interfacial_activation,fluoride_impurity_interfacial_activation,chloride_salt,thermochemical_response_prediction,dridn_response_prediction,front_depth_um,mass_recession_um,mass_loss_mg_cm2,mass_gain_mg_cm2,igc_depth_um,corrosion_rate_um_y,redox_shift_endpoint,mass_balance_relative_error,mass_fraction_Cr,log_exchange_offset_Cr,affinity_baseline_Cr,cold_capture_fraction_Cr,dissolved_Cr_ppm,cumulative_source_Cr_ppm,coupon_deposit_Cr_mg_cm2,bulk_captured_Cr_ppm,surface_Cr_availability,mass_fraction_Fe,log_exchange_offset_Fe,affinity_baseline_Fe,cold_capture_fraction_Fe,dissolved_Fe_ppm,cumulative_source_Fe_ppm,coupon_deposit_Fe_mg_cm2,bulk_captured_Fe_ppm,surface_Fe_availability,mass_fraction_Ni,log_exchange_offset_Ni,affinity_baseline_Ni,cold_capture_fraction_Ni,dissolved_Ni_ppm,cumulative_source_Ni_ppm,coupon_deposit_Ni_mg_cm2,bulk_captured_Ni_ppm,surface_Ni_availability
M-003,corrosion_depth_um,hastelloy_n,fluoride_fuel,msre_or_fuel_baseline,core_or_reactor,923.15,923.15,0.0,2.0,2.5704996577686514,8.89,1.0,msre,1.0,fuel,0.0368411064437471,1.0,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,1.116179018407099,0.0036741915643164766,1769.115451303482,839.1043065935307,0.6752149812832213,3.9999999999999956e-14,1.0,0.5864505148098346,False,False,False,False,7.863429546009605,8.081056062235572,8.081056062235572,5.456449438797397,4.8507835510908865,0.0,20.06196197408078,2.122719379598721,1.116179018407099,5.84656198334709e-16,0.07,0.0,17.953112053465112,0.0,96.58187177680415,104.69853114513488,0.0,9.115482619983329,0.9454974032063352,0.05,-1.0237419112804005,8.039343974630624,0.0,25.07526737396113,26.45544189293666,0.0,2.378997770628095,0.9947809056942958,0.71,-2.3170915670911314,-0.9391604785928482,0.0,88.85962296942364,96.2265529997522,0.0,8.365753281981188,0.9691134586258939
M-005,cr_diffusion_cm2_s,hastelloy_n,fluoride_fuel,msre_or_fuel_baseline,core_or_reactor,923.15,923.15,0.0,2.0,2.5704996577686514,8.89,1.0,msre,1.0,fuel,0.0368411064437471,1.0,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,1.116179018407099,0.0036741915643164766,1769.115451303482,839.1043065935307,0.6752149812832213,3.9999999999999956e-14,1.0,0.5864505148098346,False,False,False,False,3.9999999999999956e-14,3.9999999999999956e-14,8.081056062235572,5.456449438797397,4.8507835510908865,0.0,20.06196197408078,2.122719379598721,1.116179018407099,5.84656198334709e-16,0.07,0.0,17.953112053465112,0.0,96.58187177680415,104.69853114513488,0.0,9.115482619983329,0.9454974032063352,0.05,-1.0237419112804005,8.039343974630624,0.0,25.07526737396113,26.45544189293666,0.0,2.378997770628095,0.9947809056942958,0.71,-2.3170915670911314,-0.9391604785928482,0.0,88.85962296942364,96.2265529997522,0.0,8.365753281981188,0.9691134586258939
M-014,salt_cr_ppm,hastelloy_n,fluoride_fuel,purified_baseline,nominal,977.15,811.15,166.0,1.0,3.3652749258498744,8.89,1.0,loop,1.0,fuel,7.767901069021746,1.0,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.0,0.398484197301191,1004.9168083798145,839.1043065935307,0.6752149812832213,2.2516959233504542e-13,1.0,0.5864505148098346,False,False,False,False,490.91681794127686,532.7001082117742,5.210295890361976,3.5180694042938123,3.1275637004171997,1.6075928913937079,37.264612211798784,1.0454032677301546,0.0,1.1924225320562345e-15,0.07,0.0,18.112896721230936,0.3143650162916868,532.7001082117742,6863.558073238064,0.5033762547973055,4957.508003475055,0.9713420794705346,0.05,-1.0237419112804005,8.835324825760875,0.665729274913501,106.54975097836757,1716.7760218394983,0.22577274147540344,994.8064809358865,0.9974499678904873,0.71,-2.3170915670911314,0.3361703045970774,0.7649127999143572,377.72445399206254,6314.457721768235,0.878443895120999,3539.3505856006577,0.9844952455651255
M-018,redox_acceleration_ratio,hastelloy_n,fluoride_fuel,oxidizing_fef2,nominal,977.15,811.15,166.0,1.0,0.3308236367784622,8.89,1.0,loop,1.0,fuel,7.767901069021746,0.5,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,1.887870869691994,0.398484197301191,1004.9168083798145,839.1043065935307,0.6752149812832213,2.2516959233504542e-13,1.0,0.5864505148098346,True,False,False,False,6.5509416281703565,6.010361140342973,3.1150359439854216,2.103318674872657,1.8698503019617925,0.20698068637052097,13.406621841648397,6.357824656528867,1.7548716225532157,3.622613066645691e-16,0.07,0.0,18.112896721230936,0.3143650162916868,755.0523043316527,2056.228571968068,0.05830782296279541,1142.9794894473769,0.9548663982799195,0.05,-1.0237419112804005,8.835324825760875,0.665729274913501,170.82354091710428,514.3294035823138,0.030011085657053602,262.5665755862601,0.9912796057733847,0.71,-2.3170915670911314,0.3361703045970774,0.7649127999143572,610.577243530172,1881.9542103200417,0.11866177775067195,948.3981123104697,0.9628847212450903
M-027,mass_loss_mg_cm2,stainless_316,flibe,reducing_be,nominal,923.15,923.15,0.0,1.0,0.0806647023940848,8.0,2.4285714285714284,loop,1.0,fuel,7.767901069021746,0.5,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,-1.9314849441114443,2.5039769612288234,908.254633766047,839.1043065935307,1.0,3.9999999999999956e-14,1.0,0.5864505148098346,True,False,False,False,0.11417127261138463,0.1228748951672551,0.1535936380726272,0.15359361895906887,0.1228748951672551,0.0,2.2452634878656372,1.9040994933408693,-1.8940452694350953,3.876512847308529e-16,0.17,0.0,11.623229267164639,0.0,84.13462229039699,83.33354165428678,0.0,0.19774261554236225,0.9986181738320741,0.66,-1.0237419112804005,0.0,0.0,109.71894262442206,108.9777609229772,0.0,0.257641550207671,0.9983082738750535,0.12,-2.3170915670911314,-9.934119687147543,0.0,6.234175790345762,5.250740086074726,0.0,0.015387547381528383,0.9999152093366017
M-029,mass_loss_mg_cm2,stainless_316h,flinak,purified_baseline,hot_leg,923.15,813.15,110.0,1.1,0.1140771161305042,8.0,2.4285714285714284,loop,1.0,flinak,7.767901069021746,0.55,0.6259237781869545,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.0,3.811850564131083,995.454853987747,839.1043065935307,0.3516168034274227,3.9999999999999956e-14,1.0,0.5864505148098346,False,False,False,False,1.3884314551996175,1.428353915600981,5.077807998031277,1.785442394501226,1.428353915600981,0.6667323484004376,7.5652366656418,15.651188030197751,0.0,7.463599958666418e-16,0.17,0.0,12.827202071490573,0.22722708707182404,1178.885780594184,3045.435560992312,0.1738589032520781,1407.378909443774,0.9547494193926247,0.66,-1.0237419112804005,0.0,0.533224724710303,1199.3164083761767,3942.51531918084,0.4673872807867838,1507.117216163084,0.9466661126289242,0.12,-2.3170915670911314,-8.730146882821607,0.6336966207059662,57.74766859919953,196.59365060900467,0.025486164361575653,72.38803289389111,0.9971855098595566
M-030,mass_gain_mg_cm2,stainless_316h,flinak,purified_baseline,cold_leg,923.15,813.15,110.0,1.1,0.1140771161305042,8.0,2.4285714285714284,loop,1.0,flinak,7.767901069021746,1.0,0.6259237781869545,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.0,3.811850564131083,995.454853987747,839.1043065935307,0.3516168034274227,5.821725388608763e-16,1.0,0.5864505148098346,False,False,False,False,1.0058728186767107,0.9378562792377434,5.077809082532724,1.7854427758301092,1.4283542206640876,0.9378562792377434,5.377895609680548,15.651191372926741,0.0,5.07467962283155e-16,0.17,0.0,12.827202071490573,0.22722708707182404,1459.6758599489424,5537.492336309964,0.23873948971313752,3446.9196881644357,0.9547465991661508,0.66,-1.0237419112804005,0.0,0.533224724710303,1573.1220605542326,7167.884884645966,0.6628418515134072,3841.3520288976915,0.9466686874052623,0.12,-2.3170915670911314,-8.730146882821607,0.6336966207059662,76.79687003112514,357.43380674119834,0.03627493801119867,185.6232646582649,0.9971855993332014
M-038,igc_depth_um,stainless_316h,chloride,impure_moisture,nominal,973.15,973.15,0.0,0.35,0.1140771161305042,8.0,2.4285714285714284,loop,1.0,fuel,7.767901069021746,0.175,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,2.9007472534550707,1.5267613598309917,363.49738073892365,839.1043065935307,1.0,1.9942380658724556e-13,7.997270450558367,6.673676747209084,True,False,True,True,125.88738627903247,126.5199890790201,7.616419170831526,7.616418223026177,6.093134578420942,0.0,126.5199890790201,66.76552214304749,2.822525840131748,7.858846312087199e-16,0.17,0.0,10.347676774220272,0.0,876.251859112486,1445.6109360811063,0.0,570.357900220274,0.9325332103612862,0.66,-1.0237419112804005,0.0,0.0,1142.4864961005844,1886.6740787040899,0.0,745.186405855157,0.9199420200213563,0.12,-2.3170915670911314,-6.172942896714195,0.0,59.232260211658186,96.57031944656809,0.0,38.33688248656246,0.9956582903168052
M-041,igc_depth_um,hastelloy_n,fluoride_fuel,tellurium,nominal,973.15,973.15,0.0,0.35,0.123089208304814,8.89,1.0,loop,1.0,fuel,7.767901069021746,0.175,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.9988232516525638,0.9988232516525638,-0.9936013533175272,0.3707416158944203,363.49738073892365,839.1043065935307,0.6752149812832213,1.9942380658724556e-13,1.0,1.9866481685441078,False,False,False,False,19.79590192392459,19.613462040127782,0.06964212578092766,0.04702340080398809,0.04180380331474542,0.0,19.613462040127782,0.38202699856140854,-0.9936013533175272,1.1297568807764754e-15,0.07,0.0,18.101831373649958,0.0,17.15470787524667,16.15824111305372,0.0,0.002356489459606899,0.9988926372667901,0.05,-1.0237419112804005,8.779795133341294,0.0,4.955653066244516,3.957545849375651,0.0,0.000716034783699049,0.9997545705917782,0.71,-2.3170915670911314,0.24672581086931977,0.0,15.721191223793602,14.724531654399176,0.0,0.0021636822581544085,0.9990308851885038
boundary_zero_elements,dridn_context_boundary,synthetic_cr_only,fluoride_fuel,purified_baseline,nominal,977.15,811.15,166.0,1.0,3.3652749258498744,8.89,14.285714285714285,loop,1.0,fuel,7.767901069021746,1.0,0.7064534573603768,0.004817896232653154,0.9988232516525638,0.9988232516525638,0.0,0.0,0.0,0.398484197301191,1004.9168083798145,839.1043065935307,0.6752149812832213,2.2516959233504542e-13,1.0,0.5864505148098346,False,False,False,False,,,5.235967060911304,3.5354029610787685,3.142973232399026,1.0176851683750967,37.290283382348115,1.050553978197169,0.0,6.07578277270916e-16,1.0,0.0,18.112896721230936,0.3143650162916868,1072.195973787235,14968.178578187755,1.0176851683750967,11118.434841199802,0.9856804610417781,0.0,-1.0237419112804005,8.835324825760875,0.665729274913501,0.0,0.0,0.0,0.0,1.0,0.0,-2.3170915670911314,0.3361703045970774,0.7649127999143572,0.0,0.0,0.0,0.0,1.0
